Period,Quarter,Recipient Name,City,Province,Country,Title,Language,Genre,Date,Final Value,Original Value,Type,Purpose,Comments
2016-2017,P4,Northern Visions Independent Video & Film Association,Toronto,Ontario,Canada,Images Festival,,,2017-01-12,22784.00,22784.00,Contribution,Promotion Program,
2016-2017,P4,1880609 Ontario Inc.,Toronto,Ontario,Canada,5 Films About Technology,English,,2017-01-12,2200.00,2200.00,Contribution,International Marketing Program,
2016-2017,P4,Charles Taylor Theatre & Media Arts Association,Dartmouth,Nova Scotia,Canada,The Emerging Lens Independent Cultural Film Festival,,,2017-01-13,2500.00,2500.00,Contribution,Promotion Program,
2016-2017,P4,2033161 Ontario Limited,Toronto,Ontario,Canada,"""4K Restorations of """"Hockey Night"""" and """"Roadkill""""""",,,2017-01-13,38600.00,38600.00,Contribution,Promotion Program,
2016-2017,P4,Independent Web series Creators of Canada,Toronto,Ontario,Canada,T.O. Webfest 2017,,,2017-01-16,5000.00,5000.00,Contribution,Promotion Program,
2016-2017,P4,Ciné Québec,Boucherville,Quebec,Canada,Ciné Québec,,,2017-01-16,36048.00,36048.00,Contribution,Promotion Program,
2016-2017,P4,Storyline Entertainment Inc.,Toronto,Ontario,Canada,League of Exotique Dancers,English,Documentary,2017-01-17,1500.00,1500.00,Contribution,International Marketing Program,
2016-2017,P4,Les Films du Tricycle Inc.,Les Bergeronnes,Quebec,Canada,Combat au bout de la nuit,French,Documentary,2017-01-17,23700.00,23700.00,Contribution,International Marketing Program,
2016-2017,P4,Storyline Fx Inc.,Winnipeg,Manitoba,Canada,Freeze Frame Int'l Film Festival For Kids of All,,,2017-01-17,9345.00,9345.00,Contribution,Promotion Program,
2016-2017,P4,Highway 401 Films Inc.,Toronto,Ontario,Canada,Wexford Plaza,English,,2017-01-18,1500.00,1500.00,Contribution,International Marketing Program,
2016-2017,P4,The Documentary Media Society,Vancouver,British Columbia,Canada,DOXA Documentary Film Festival ,,,2017-01-19,10815.00,10815.00,Contribution,Promotion Program,
2016-2017,P4,Woods Entertainment Canada Inc.,Toronto,Ontario,Canada,1 Night on Panther Mountain,English,Comedy,2017-01-24,1500.00,1500.00,Contribution,International Marketing Program,
2016-2017,P4,SC Productions Inc.,Toronto,Ontario,Canada,Ash (The),English,,2017-01-24,1500.00,1500.00,Contribution,International Marketing Program,
2016-2017,P4,Triplex Films Inc.,Montreal,Quebec,Canada,Theater of Life,English,Documentary,2017-01-24,1000.00,1000.00,Contribution,International Marketing Program,
2016-2017,P4,Colonelle films inc.,Montreal,Quebec,Canada,The Catch,English,,2017-01-26,1500.00,1500.00,Contribution,International Marketing Program,
2016-2017,P4,Colonelle films inc.,Montreal,Quebec,Canada,Break The Fall,English,,2017-01-27,1500.00,1500.00,Contribution,International Marketing Program,
