Period,Quarter,Recipient Name,City,Province,Country,Title,Language,Genre,Date,Final Value,Original Value,Type,Purpose,Comments
2009-2010,P1,Woodfall Films Inc.,Vancouver,British Columbia,Canada,Virtual Life,English,Comedy,2009-04-02,31872.00,11822.00,Recoupable Advance,Development Program,Amended contract signed  21-OCT-08
2009-2010,P1,Cité-Amérique Inc.,Montreal,Quebec,Canada,Soeur Marie-Thérèse des Batignolles,French,Comedy,2009-04-03,35386.00,17200.00,Recoupable Advance,Development Program,Amended contract signed  28-JUN-07
2009-2010,P1,Love Child Productions Inc.,Toronto,Ontario,Canada,"Con Artist, The",English,Comedy,2009-04-03,2967000.00,2820000.00,Investment,Production Program,Amended contract signed  18-FEB-09
2009-2010,P1,Studio Max Films Inc.,Montreal,Quebec,Canada,Shameless (aka Mischief),English,Drama,2009-04-06,97947.00,42000.00,Recoupable Advance,Development Program,Amended contract signed  24-AUG-05
2009-2010,P1,Figura Films Inc.,Montreal,Quebec,Canada,VEUFS (LES),French,Drama (Film),2009-04-07,18753.00,20000.00,Recoupable Advance,Development Program,Amended contract signed  15-FEB-08
2009-2010,P1,Cinémaginaire inc.,Montreal,Quebec,Canada,Passion (Grou),English,Drama (Film),2009-04-09,68125.00,73584.00,Recoupable Advance,Development Program,Amended contract signed  16-JAN-08
2009-2010,P1,MC2 Communication Média inc.,Montreal,Quebec,Canada,Ekimondo,French,Reference,2009-04-09,264140.00,150000.00,Recoupable Advance,Production Program (Canada New Media Fund),Amended contract signed  19-DEC-07
2009-2010,P1,Cinémaginaire Inc.,Montreal,Quebec,Canada,MOONSHINE LILY ,French,Historical Drama,2009-04-09,32685.00,34410.00,Recoupable Advance,Development Program,Amended contract signed  20-NOV-06
2009-2010,P1,Mongrel Media Inc.,Toronto,Ontario,Canada,Forgotten Woman (The),English,Documentary,2009-04-10,24216.00,57428.00,Recoupable Advance,Marketing Program,Amended contract signed  08-JUL-08
2009-2010,P1,PUNK Films Inc.,Toronto,Ontario,Canada,Only,English,Drama,2009-04-10,30000.00,30000.00,Recoupable Advance,Marketing Program,
2009-2010,P1,Seafarer Films Inc. ,Toronto,Ontario,Canada,November Gale,English,Action/Adventure,2009-04-17,75000.00,35000.00,Recoupable Advance,Development Program,Amended contract signed  14-OCT-08
2009-2010,P1,Emotion Pictures Incorporated,Halifax,Nova Scotia,Canada,Kit's Law,English,Drama (Film),2009-04-17,67074.00,35000.00,Recoupable Advance,Development Program,Amended contract signed  19-DEC-07
2009-2010,P1,FCTNM,Montreal,Quebec,Canada,FCTNM - 11e Gala,French,N/A,2009-04-17,2000.00,2000.00,Contribution,Promotion Program,
2009-2010,P1,Association des propriétaires de cinémas du Québec,Montreal,Quebec,Canada,APCCQ - Souper annuel 2009,French,N/A,2009-04-17,3000.00,3000.00,Contribution,Promotion Program,
2009-2010,P1,Creo Inc.,Montreal,Quebec,Canada,Forestia,French,Edutainment,2009-04-20,165350.00,60000.00,Recoupable Advance,Development Program (Canada New Media Fund),Amended contract signed  21-MAR-07
2009-2010,P1,Straight Edge Films Inc.,Toronto,Ontario,Canada,Anti-Diva,English,Historical Drama,2009-04-20,75000.00,36863.00,Recoupable Advance,Development Program,Amended contract signed  22-DEC-06
2009-2010,P1,Northwood Productions Inc.,Toronto,Ontario,Canada,Grizzlies (The),English,Drama (Film),2009-04-21,75000.00,41328.00,Recoupable Advance,Development Program,Amended contract signed  01-MAY-08
2009-2010,P1,January Films Ltd.,Toronto,Ontario,Canada,Oma in Roma,English,Comedy,2009-04-21,16390.00,10000.00,Recoupable Advance,Development Program,Amended contract signed  29-JUL-08
2009-2010,P1,Contradiction Films Inc.,Vancouver,British Columbia,Canada,Bitten,English,Horror/Thriller,2009-04-21,21069.00,21069.00,Recoupable Advance,Development Program,
2009-2010,P1,No Equal Entertainment Inc.,Vancouver,British Columbia,Canada,International Idol,English,Comedy,2009-04-21,25984.00,25984.00,Recoupable Advance,Development Program,
2009-2010,P1,Film Départ inc.,Montreal,Quebec,Canada,GRAND DÉPART (LE) (Meunier),French,Comedy,2009-04-22,2336211.00,2350000.00,Investment,Production Program,Amended contract signed  11-SEPT-07
2009-2010,P1,"Films TVA, une division de Groupe TVA Inc. (Les)",Montreal,Quebec,Canada,Déserteur (Le) (aka FILS DE JOSEPH (LE)),French,Historical Drama,2009-04-22,352680.00,435375.00,Recoupable Advance,Marketing Program,Amended contract signed  12-DEC-08
2009-2010,P1,Serious Filmed Entertainment Inc.,Vancouver,British Columbia,Canada,"Lottery, The",English,Horror/Thriller,2009-04-22,14900.00,14900.00,Recoupable Advance,Development Program,
2009-2010,P1,Overinteractive Media Inc.,Vancouver,British Columbia,Canada,Kids Are On Fire (The),English,Comedy,2009-04-23,21502.00,21502.00,Recoupable Advance,Development Program,
2009-2010,P1,Inferno Pictures Inc.,Winnipeg,Manitoba,Canada,Shed Devil,English,Comedy,2009-04-23,17360.00,17360.00,Recoupable Advance,Development Program,
2009-2010,P1,Leader Media Productions Ltd.,Toronto,Ontario,Canada,Finale,English,Drama (Film),2009-04-24,16687.00,16687.00,Recoupable Advance,Development Program,
2009-2010,P1,Nedji Corporation,Toronto,Ontario,Canada,Uthando,English,Drama (Film),2009-04-26,42275.00,42275.00,Recoupable Advance,Development Program,
2009-2010,P1,Connections Productions Inc.,Bedford,Nova Scotia,Canada,Profession:  Exorciste,French,Documentary,2009-04-27,2851.00,14900.00,"Grant, Recoupable Advance",Development Program,Amended contract signed  08-JAN-07
2009-2010,P1,Somnapix Inc.,Toronto,Ontario,Canada,Celia,English,Romantic Comedy,2009-04-28,62160.00,36960.00,Recoupable Advance,Development Program,Amended contract signed  11-JUL-08
2009-2010,P1,Film Works Ltd. (The) ,Toronto,Ontario,Canada,Bone,English,Western,2009-04-28,67855.00,32134.00,Recoupable Advance,Development Program,Amended contract signed  22-FEB-08
2009-2010,P1,Insight Production Company Ltd.,Toronto,Ontario,Canada,Paddle To The Amazon,English,Action/Adventure,2009-04-29,54946.00,24946.00,Recoupable Advance,Development Program,Amended contract signed  26-MAY-08
2009-2010,P1,Abracadabra Productions Inc.,Toronto,Ontario,Canada,Let Him Be,English,Drama,2009-04-29,30000.00,30000.00,Recoupable Advance,Marketing Program,
2009-2010,P1,3 Legged Dog Films Ltd.,Toronto,Ontario,Canada,Small Town Murder Scenes,English,Mystery/Crime/Police,2009-04-29,30500.00,30500.00,Recoupable Advance,Development Program,
2009-2010,P1,Association coopérative de productions audio-visuelles,Montreal,Quebec,Canada,5-FU,French,Drama (Film),2009-04-30,21570.00,13370.00,Recoupable Advance,Development Program,Amended contract signed  25-AUG-08
2009-2010,P1,Eagle Vision Inc.,Winnipeg,Manitoba,Canada,Satan's Brew,English,Comedy,2009-04-30,21822.00,21822.00,Recoupable Advance,Development Program,
2009-2010,P1,Optic Nerve Films Inc.,Vancouver,British Columbia,Canada,Rebel Kind (The),English,Drama (Film),2009-05-01,42900.00,35000.00,Recoupable Advance,Development Program,Amended contract signed  18-JAN-08
2009-2010,P1,9097-4767 Québec inc.,Montreal,Quebec,Canada,Amour (L') (Bisaillon),French,Drama (Film),2009-05-01,22500.00,15000.00,Recoupable Advance,Development Program,Amended contract signed  14-MAY-08
2009-2010,P1,Max Films Inc.,Montreal,Quebec,Canada,"""PART DU FEU, LA ( AKA """"JEAN CORBO"""") """,French,Drama (Film),2009-05-04,22681.00,14000.00,Recoupable Advance,Development Program,Amended contract signed  02-JUN-08
2009-2010,P1,Crazy8s Film Society,Vancouver,British Columbia,Canada,Crazy8s (APR 2009),English,N/A,2009-05-04,25000.00,25000.00,Contribution,Promotion Program,
2009-2010,P1,Big Blue Films Inc ,Winnipeg,Manitoba,Canada,Sense of Things (The),English,Drama (Film),2009-05-05,24990.00,24990.00,Recoupable Advance,Development Program,
2009-2010,P1,"Bennett, Guy",Vancouver,British Columbia,Canada,Black Angel,English,Mystery/Crime/Police,2009-05-05,20050.00,20050.00,Recoupable Advance,Development Program,
2009-2010,P1,Black Field Productions Inc.,Winnipeg,Manitoba,Canada,Black Field,English,Historical Drama,2009-05-05,200000.00,200000.00,Recoupable Advance,Production Program,
2009-2010,P1,Lyla Films Inc.,Montreal,Quebec,Canada,Country Girls,French,Musical,2009-05-06,30000.00,20000.00,Recoupable Advance,Development Program,Amended contract signed  04-DEC-07
2009-2010,P1,Les Productions Vidéo-Films Ltée,Montreal,Quebec,Canada,Le retour du Capitaine Bonhomme,French,Action/Adventure,2009-05-07,60060.00,60060.00,Recoupable Advance,Development Program,
2009-2010,P1,Cinémaginaire inc.,Montreal,Quebec,Canada,I AM MARIA (a.k.a. La Callas),French,Drama (Film),2009-05-07,82000.00,82000.00,Recoupable Advance,Development Program,
2009-2010,P1,Productions des Années lumière inc.,Quebec,Quebec,Canada,Desperado,French,Drama (Film),2009-05-08,35000.00,23000.00,Recoupable Advance,Development Program,Amended contract signed  26-MAR-08
2009-2010,P1,January Films Ltd.,Toronto,Ontario,Canada,Return to Bikini Mountain,English,Comedy,2009-05-08,48000.00,33000.00,Recoupable Advance,Development Program,Amended contract signed  28-AUG-08
2009-2010,P1,Cinémaginaire Inc.,Montreal,Quebec,Canada,GROS LOT,French,Drama,2009-05-08,24568.00,53911.00,Recoupable Advance,Development Program,Amended contract signed  10-MAY-05
2009-2010,P1,I Studio Cinéma Télévision Inc.,Montreal,Quebec,Canada,Premier Amour,French,Drama (Film),2009-05-08,4200.00,4200.00,Recoupable Advance,Development Program,
2009-2010,P1,Films 53/12 Inc.,Montreal,Quebec,Canada,Empreintes,French,Drama (Film),2009-05-11,29000.00,14000.00,Recoupable Advance,Development Program,Amended contract signed  21-NOV-07
2009-2010,P1,9287-1599 Québec inc.,Montreal,Quebec,Canada,Ceci n'est pas un polar,French,Drama (Film),2009-05-11,14000.00,14000.00,Recoupable Advance,Development Program,
2009-2010,P1,Summer Pictures Inc.,Richmond Hill,Ontario,Canada,Scream of a Butterfly,English,Drama (Film),2009-05-11,23620.00,23620.00,Recoupable Advance,Development Program,
2009-2010,P1,Hungry Hills Productions Inc.,Regina,Saskatchewan,Canada,Hungry Hills,English,Drama (Film),2009-05-11,550000.00,550000.00,Investment,Production Program,
2009-2010,P1,Hot Docs,Toronto,Ontario,Canada,Hot Docs 2009,English,N/A,2009-05-12,125000.00,110000.00,Grant,Promotion Program,Amended contract signed  17-MAR-09
2009-2010,P1,K Films Amérique,Montreal,Quebec,Canada,J'ai tué ma mère,French,Drama (Film),2009-05-12,86471.00,86471.00,Recoupable Advance,Marketing Program,
2009-2010,P1,Triptych Media Inc.,Toronto,Ontario,Canada,Queen Kristina,English,Historical Drama,2009-05-12,36809.00,36809.00,Recoupable Advance,Development Program,
2009-2010,P1,Achilles Media Ltd.,Toronto,Ontario,Canada,nextMEDIA - Banff & Vancouver 2009,English,N/A,2009-05-12,90000.00,90000.00,Grant,Promotion Program (Canada New Media Fund),
2009-2010,P1,Goonworks Films Ltd.,Vancouver,British Columbia,Canada,Auburn Hills Breakdown (The),English,Comedy,2009-05-13,41479.00,21479.00,Recoupable Advance,Development Program,Amended contract signed  20-JAN-08
2009-2010,P1,Atopia Distribution Inc.,Montreal,Quebec,Canada,Je me souviens (aka Némésis-Forcier),French,Comedy,2009-05-13,185888.00,187762.00,Recoupable Advance,Marketing Program,Amended contract signed  21-JAN-09
2009-2010,P1,In Face Films Inc.,Delta,British Columbia,Canada,Trance,English,Drama (Film),2009-05-13,23680.00,23680.00,Recoupable Advance,Development Program,
2009-2010,P1,Massey Productions Ltd.,North Vancouver,British Columbia,Canada,Matching Blue,English,Mystery/Crime/Police,2009-05-13,18700.00,18700.00,Recoupable Advance,Development Program,
2009-2010,P1,Stray Dog Productions Inc.,Vancouver,British Columbia,Canada,Slow and the Dead (The),English,Comedy,2009-05-13,13822.00,13822.00,Recoupable Advance,Development Program,
2009-2010,P1,9184-6774  Québec inc.,Rimouski,Quebec,Canada,École ferme (L'),French,Comedy,2009-05-14,25000.00,25000.00,Recoupable Advance,Development Program,
2009-2010,P1,Bensondale Productions Inc.,Toronto,Ontario,Canada,Retreat (The),English,Comedy,2009-05-15,14600.00,14600.00,Recoupable Advance,Development Program,
2009-2010,P1,Four Seasons Productions Inc.,Toronto,Ontario,Canada,Falling From Grace,English,Drama (Film),2009-05-15,10000.00,10000.00,Recoupable Advance,Development Program,
2009-2010,P1,Peripheral Films Inc. ,Vancouver,British Columbia,Canada,Mad Robin ,English,Drama (Film),2009-05-19,11822.00,11822.00,Recoupable Advance,Development Program,
2009-2010,P1,3 Legged Dog Films Ltd.,Toronto,Ontario,Canada,"Three in the Back, Two in the Head",English,Horror/Thriller,2009-05-20,65500.00,25000.00,Recoupable Advance,Development Program,Amended contract signed  27-SEP-07
2009-2010,P1,Mulmur's One Week Inc.,Mulmur,Ontario,Canada,One Week,English,Drama (Film),2009-05-20,935778.00,941789.00,"Investment, Recoupable Advance",Production Program,Amended contract signed  30-OCT-07
2009-2010,P1,Barbu inc.,Outremont,Quebec,Canada,BAISER DU BARBU (LE),French,Romantic Comedy,2009-05-20,689841.00,689841.00,Investment,Production Program,
2009-2010,P1,Studiofilm Inc.,Montreal,Quebec,Canada,À L'ORIGINE D'UN CRI,French,Drama (Film),2009-05-20,1250000.00,1250000.00,Investment,Production Program,
2009-2010,P1,L'Etranger Film Productions Ltd. ,Vancouver,British Columbia,Canada,Dog Creek,English,Action/Adventure,2009-05-21,65850.00,24000.00,Recoupable Advance,Development Program,Amended contract signed  06-SEP-07
2009-2010,P1,Idéacom International Inc.,Montreal,Quebec,Canada,Valse des continents (La),French,Documentary,2009-05-21,24032.00,30000.00,Recoupable Advance,Mini-treaties,Amended contract signed  11-SEP-08
2009-2010,P1,"Cole, Randall",Toronto,Ontario,Canada,Silver and Gold,English,Comedy,2009-05-21,11822.00,11822.00,Recoupable Advance,Development Program,
2009-2010,P1,Silo Corporation,Montreal,Quebec,Canada,Petit Coin de Paradis (Un) aka: Sirop d'Érable et Camembert,French,Romantic Comedy,2009-05-22,16000.00,16000.00,Recoupable Advance,Development Program,
2009-2010,P1,Novem Communications Inc.,Longueuil,Quebec,Canada,Lac Mystère,French,Mystery/Crime/Police,2009-05-25,52000.00,35000.00,Recoupable Advance,Development Program,Amended contract signed  01-DEC-08
2009-2010,P1,Melenny Productions Inc.,Montreal,Quebec,Canada,AUDITION (THE),English,Drama (Film),2009-05-25,97664.00,50064.00,Recoupable Advance,Development Program,Amended contract signed  09-DEC-08
2009-2010,P1,Zone3 Inc.,Montreal,Quebec,Canada,Mon meilleur ami,French,Drama (Film),2009-05-25,5800.00,5800.00,Recoupable Advance,Development Program,
2009-2010,P1,Zone3 Inc.,Montreal,Quebec,Canada,Une par jour,French,Comedy,2009-05-25,30000.00,30000.00,Recoupable Advance,Development Program,
2009-2010,P1,Markham Street Films Inc.,Toronto,Ontario,Canada,Return Of The Fabulous Seven (The),English,Comedy,2009-05-26,55756.00,33129.00,Recoupable Advance,Development Program,Amended contract signed  07-AUG-08
2009-2010,P1,K.C.U.S. Productions Inc.,Toronto,Ontario,Canada,Suck,English,Comedy,2009-05-26,1524736.00,1349736.00,Investment,Production Program,Amended contract signed  01-DEC-08
2009-2010,P1,Optic Nerve Films Inc.,Vancouver,British Columbia,Canada,John Doe,English,Mystery/Crime/Police,2009-05-26,20000.00,20000.00,Recoupable Advance,Development Program,
2009-2010,P1,Hungry Eyes Film & Television Inc.,Toronto,Ontario,Canada,Home Again (Sutherland),English,Drama,2009-05-28,102281.00,30375.00,Recoupable Advance,Development Program,Amended contract signed 15-MAR-07
2009-2010,P1,"Strident Films, Inc.",Toronto,Ontario,Canada,Textuality,English,Romantic Comedy,2009-05-28,22400.00,22400.00,Recoupable Advance,Development Program,
2009-2010,P1,Cité-Amérique Inc.,Montreal,Quebec,Canada,Vulnerable,English,Drama (Film),2009-05-28,12700.00,12700.00,Recoupable Advance,Development Program,
2009-2010,P1,Neverthere Productions Inc.,Etobicoke,Ontario,Canada,Borders,English,Drama (Film),2009-05-29,33872.00,13822.00,Recoupable Advance,Development Program,Amended contract signed  19-MAR-08
2009-2010,P1,Incendies Inc.,Montreal,Quebec,Canada,Incendies,French,Drama (Film),2009-05-29,1900000.00,2200000.00,Investment,Production Program,Amended contract signed  11-MAR-09
2009-2010,P1,Calder Road Films Inc.,Toronto,Ontario,Canada,Seven Deadly Sins,English,Comedy,2009-05-29,27802.00,27802.00,Recoupable Advance,Development Program,
2009-2010,P1,Incendies Inc.,Montreal,Quebec,Canada,Incendies,French,Drama (Film),2009-05-29,300000.00,300000.00,Recoupable Advance,Mini-treaties,
2009-2010,P1,Digital Arts and Technology Association,Toronto,Ontario,Canada,FITC Toronto 2009,English,N/A,2009-05-29,50000.00,50000.00,Grant,Promotion Program (Canada New Media Fund),
2009-2010,P1,Jibber Jabber Entertainment Inc.,Pitt Meadows,British Columbia,Canada,Screw Loose Christmas (A),English,Drama (Film),2009-06-01,65740.00,40740.00,Recoupable Advance,Development Program,Amended contract signed  02-APR-08
2009-2010,P1,Javelin Pictures Inc.,Toronto,Ontario,Canada,Illiterature,English,Drama (Film),2009-06-01,30734.00,32289.00,Recoupable Advance,Development Program,Amended contract signed  06-JAN-09
2009-2010,P1,T.L. Boulton Productions Ltd.,Toronto,Ontario,Canada,Moody Food,English,Drama,2009-06-01,71989.00,30000.00,Recoupable Advance,Development Program,Amended contract signed  03-JAN-06
2009-2010,P1,The Film Farm Inc.,Toronto,Ontario,Canada,Journey to the Surface of the Earth,English,Drama (Film),2009-06-01,66450.00,66450.00,Recoupable Advance,Development Program,
2009-2010,P1,4473256 Canada Inc.,Montreal,Quebec,Canada,WOLFPACK (THE),English,Comedy,2009-06-02,75290.00,15000.00,Recoupable Advance,Development Program,Amended contract signed  19-AUG-08
2009-2010,P1,0785878 BC Ltd.,Vancouver,British Columbia,Canada,Comatose,English,Sci.fi./Fantasy/Tale,2009-06-02,17213.00,17213.00,Recoupable Advance,Development Program,
2009-2010,P1,Starling Road Productions Inc. / Productions Starling Road Inc.,Ile Perrot,Quebec,Canada,Sept comme Setteur,French,Action/Adventure,2009-06-02,22900.00,22900.00,Recoupable Advance,Development Program,
2009-2010,P1,Possibles Média inc.,Montreal,Quebec,Canada,Disparus,French,Drama (Film),2009-06-02,10000.00,10000.00,Recoupable Advance,Development Program,
2009-2010,P1,Park Ex Pictures Inc.,Montreal,Quebec,Canada,Notre Dame de Grâce,English,Mystery/Crime/Police,2009-06-02,71229.00,71229.00,Recoupable Advance,Development Program,
2009-2010,P1,Buffalo Gal Pictures Development Inc.,Winnipeg,Manitoba,Canada,Kush Kush in the Bush:  Bollywood Comes to the Trailer Park,English,Romantic Comedy,2009-06-03,42004.00,30000.00,Recoupable Advance,Development Program,Amended contract signed  30-JAN-08
2009-2010,P1,Six Island Productions Inc.,Toronto,Ontario,Canada,Malabar Court,English,Drama (Film),2009-06-03,35796.00,35796.00,Recoupable Advance,Development Program,
2009-2010,P1,"Bodruzic, Bojan",Vancouver,British Columbia,Canada,Sputnik,English,Horror/Thriller,2009-06-04,11822.00,11822.00,Recoupable Advance,Development Program,
2009-2010,P1,Eagle Vision Inc.,Winnipeg,Manitoba,Canada,Strange Love,English,Romantic Comedy,2009-06-05,58004.00,34135.00,Recoupable Advance,Development Program,Amended contract signed  24-SEP-08
2009-2010,P1,Canadian Media Production Association - Association Canadienne de Production de Média,Ottawa,Ontario,Canada,CFTPA Prime Time & Indie Awards 2009,English,N/A,2009-06-05,0.00,20000.00,Contribution,Promotion Program,Amended contract signed  15-JAN-09
2009-2010,P1,E1 Films Canada Inc.,Toronto,Ontario,Canada,Bang Bang Club (The),English,Historical Drama,2009-06-05,12600.00,12600.00,Recoupable Advance,International Marketing Program,
2009-2010,P1,Suki Films Inc.,Westmount,Quebec,Canada,Rose By Name,English,Thriller,2009-06-05,16266.00,16266.00,Recoupable Advance,Development Program,
2009-2010,P1,Silo Corporation,Montreal,Quebec,Canada,Gastown (Beckett),English,Romantic Comedy,2009-06-05,30000.00,30000.00,Recoupable Advance,Development Program,
2009-2010,P1,Productions Pimiento inc.,Montreal,Quebec,Canada,Mon fils est un lofteur,French,Comedy,2009-06-05,15000.00,15000.00,Recoupable Advance,Development Program,
2009-2010,P1,Artifact Films 2011 Inc.,Garibaldi Highlands,British Columbia,Canada,Chamber (The),English,Thriller,2009-06-05,20000.00,20000.00,Recoupable Advance,Development Program,
2009-2010,P1,4181743 Canada Inc.,Montreal,Quebec,Canada,Concert des voix (Le),French,Documentary,2009-06-05,137500.00,137500.00,Investment,Theatrical Documentary Program,
2009-2010,P1,Insomnia Productions Inc.,Nanaimo,British Columbia,Canada,Secret Life of John McCready (The ),English,Mystery/Crime/Police,2009-06-08,45864.00,27160.00,Recoupable Advance,Development Program,Amended contract signed  18-NOV-08
2009-2010,P1,Amoniak Film Distributions,Montreal,Quebec,Canada,Encerclement (L')  (aka La pensée unique),French,Documentary,2009-06-08,9500.00,9500.00,Recoupable Advance,Marketing Program,
2009-2010,P1,Shoes Full of Feet Inc.,Toronto,Ontario,Canada,Schooled,English,Action/Adventure,2009-06-08,14900.00,14900.00,Recoupable Advance,Development Program,
2009-2010,P1,Association des Producteurs de Films et de TV du Québec,Montreal,Quebec,Canada,Congrès APFTQ 2009,French,N/A,2009-06-08,6600.00,6600.00,Contribution,Promotion Program,
2009-2010,P1,Jalloo Foundation Inc.,Miramichi,New Brunswick,Canada,Jalloo Festival of Animation and Games,English,N/A,2009-06-08,18440.00,18440.00,Grant,Promotion Program (Canada New Media Fund),
2009-2010,P1,English Online Inc.,North Vancouver,British Columbia,Canada,EnglishLive.ca,English,Edutainment,2009-06-10,93616.00,91000.00,Recoupable Advance,Production Program (Canada New Media Fund),Amended contract signed  11-OCT-05
2009-2010,P1,English Online Inc.,North Vancouver,British Columbia,Canada,EnglishLive.ca,English,Edutainment,2009-06-10,135867.00,138483.00,Recoupable Advance,Marketing Program (Canada New Media Fund),Amended contract signed  11-OCT-05
2009-2010,P1,Eye Steel Film Inc.,Montreal,Quebec,Canada,Jingle Bell Rocks,English,Documentary,2009-06-10,5000.00,5000.00,Recoupable Advance,Development Program,
2009-2010,P1,Association coopérative de productions audio-visuelles,Montreal,Quebec,Canada,Iqaluit,French,Drama (Film),2009-06-10,16000.00,16000.00,Recoupable Advance,Development Program,
2009-2010,P1,Orca Productions Inc. ,Vancouver,British Columbia,Canada,Volunteer (The),English,Drama (Film),2009-06-11,63326.00,38326.00,Recoupable Advance,Development Program,Amended contract signed  08-MAY-08
2009-2010,P1,"Thomas, Jeremy",Calgary,Alberta,Canada,Princess Fat Ass,English,Comedy,2009-06-12,33872.00,13822.00,Recoupable Advance,Development Program,Amended contract signed  02-SEP-08
2009-2010,P1,Oasis Productions Inc.,North Vancouver,British Columbia,Canada,McLean Boys (The),English,Action/Adventure,2009-06-12,72580.00,11015.00,Recoupable Advance,Development Program,Amended contract signed  21-AUG-98
2009-2010,P1,Cirrus Communications Inc. - compagnie fusionnée ,Montreal,Quebec,Canada,Rallonge (La),French,Drama (Film),2009-06-12,31000.00,16000.00,Recoupable Advance,Development Program,Amended contract signed  22-SEP-08
2009-2010,P1,Certain Films Ltd.,Calgary,Alberta,Canada,On The Blood,English,Drama (Film),2009-06-15,30041.00,30041.00,Recoupable Advance,Development Program,
2009-2010,P1,Les Films Jessie inc.,Montreal,Quebec,Canada,Therac 25,English,Drama (Film),2009-06-17,27110.00,27110.00,Recoupable Advance,Development Program,
2009-2010,P1,Filmarto Inc.,Montreal,Quebec,Canada,Max et le Secret de la Rivière Manitou,French,Action/Adventure,2009-06-17,20000.00,20000.00,Recoupable Advance,Development Program,
2009-2010,P1,"Girard, Martin",Montreal,Quebec,Canada,Vengeance (Martin),French,Sci.fi./Fantasy/Tale,2009-06-18,13822.00,13822.00,Recoupable Advance,Development Program,
2009-2010,P1,Alliance Vivafilm Inc.,Montreal,Quebec,Canada,MODERN LOVE (KAZANDJIAN),French,Drama,2009-06-19,30794.00,61958.00,Recoupable Advance,Marketing Program,Amended contract signed  06-JAN-09
2009-2010,P1,Alliance Vivafilm Inc.,Montreal,Quebec,Canada,SERVEUSES DEMANDEES,French,Drama,2009-06-19,36983.00,61958.00,Recoupable Advance,Marketing Program,Amended contract signed  06-JAN-09
2009-2010,P1,Alliance Vivafilm Inc.,Montreal,Quebec,Canada,GRAND DÉPART (LE) (Meunier),French,Comedy,2009-06-19,484026.00,543377.00,Recoupable Advance,Marketing Program,Amended contract signed  10-DEC-08
2009-2010,P1,Lyla Films Inc.,Montreal,Quebec,Canada,Vivaldi,English,Historical Drama,2009-06-19,50000.00,50000.00,Recoupable Advance,Development Program,
2009-2010,P1,Calder Road Films Inc.,Toronto,Ontario,Canada,Death of Sweet Mister (The),English,Horror/Thriller,2009-06-19,27792.00,27792.00,Recoupable Advance,Development Program,
2009-2010,P1,AMF Productions Inc.,Vancouver,British Columbia,Canada,Ming Rose: Slammer ,English,Drama (Film),2009-06-22,48640.00,24000.00,Recoupable Advance,Development Program,Amended contract signed  15-OCT-08
2009-2010,P1,Productions 1984 inc.,Montreal,Quebec,Canada,40 is the new 20,English,Comedy,2009-06-22,20000.00,20000.00,Recoupable Advance,Marketing Program,
2009-2010,P1,Melenny Productions Inc.,Montreal,Quebec,Canada,HOCKEY NIGHT IN MOOSE JAW,English,Comedy,2009-06-22,75000.00,75000.00,Recoupable Advance,Development Program,
2009-2010,P1,Cinémaginaire inc.,Montreal,Quebec,Canada,Le sens de l'humour,French,Comedy,2009-06-22,128000.00,128000.00,Recoupable Advance,Development Program,
2009-2010,P1,Couzin Films Inc.,Montreal,Quebec,Canada,Île au coeur (Une),French,Drama (Film),2009-06-23,26000.00,16000.00,Recoupable Advance,Development Program,Amended contract signed  03-JUN-08
2009-2010,P1,Ciné Télé Action inc.,Montreal,Quebec,Canada,Beausoleil et son clan,French,Historical Drama,2009-06-23,23000.00,23000.00,Recoupable Advance,Development Program,
2009-2010,P1,Nelvana Limited,Toronto,Ontario,Canada,Willa's Wild Life,English,Children,2009-06-23,30000.00,30000.00,Recoupable Advance,Mini-treaties,
2009-2010,P1,Bluebird Project Inc. (The),Toronto,Ontario,Canada,Eating Buccaneers,English,Comedy,2009-06-24,30000.00,30000.00,Recoupable Advance,Marketing Program,
2009-2010,P1,Cheap and Dirty Productions Inc.,Vancouver,British Columbia,Canada,Sex Lives of Pirates (The) ,English,Comedy,2009-06-24,22000.00,22000.00,Recoupable Advance,Development Program,
2009-2010,P1,Redemption Pictures Incorporated,Halifax,Nova Scotia,Canada,Seven Fires,English,Mystery/Crime/Police,2009-06-26,60571.00,21600.00,Recoupable Advance,Development Program,Amended contract signed  03-JUL-07
2009-2010,P1,Independent Edge Films Inc.,Vancouver,British Columbia,Canada,Teen Lust,English,Comedy,2009-06-26,39310.00,39310.00,Recoupable Advance,Development Program,
2009-2010,P1,"Hoverd, Lee",Toronto,Ontario,Canada,Ex Men,English,Comedy,2009-06-29,33872.00,13822.00,Recoupable Advance,Development Program,Amended contract signed  07-AUG-08
2009-2010,P1,Foundry Films Inc.,Toronto,Ontario,Canada,Fatwa,English,Horror/Thriller,2009-06-29,75000.00,44855.00,Recoupable Advance,Development Program,Amended contract signed  31-AUG-07
2009-2010,P1,"Reverie World Studios, INC.",Mississauga,Ontario,Canada,Dawn of Fantasy,English,Games,2009-06-29,204945.00,250000.00,Recoupable Advance,Production Program (Canada New Media Fund),Amended contract signed  06-DEC-06
2009-2010,P1,"Reverie World Studios, INC.",Mississauga,Ontario,Canada,Dawn of Fantasy,English,Games,2009-06-29,80000.00,100000.00,Recoupable Advance,Marketing Program (Canada New Media Fund),Amended contract signed  06-DEC-06
